2020-01-29 01:32:10 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a722232f845f62c492ca937adbd0af7d)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:32:15 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a722232f845f62c492ca937adbd0af7d)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:32:16 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a722232f845f62c492ca937adbd0af7d)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:32:19 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a722232f845f62c492ca937adbd0af7d)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:33:42 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:33:42 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:33:42 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:33:42 INFO  Homepage:50 - log in to the app
2020-01-29 01:33:43 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_33_43.png
2020-01-29 01:33:43 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (3eb4cb117386188d52cd716130f1a364)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:33:49 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (3eb4cb117386188d52cd716130f1a364)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:33:49 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (3eb4cb117386188d52cd716130f1a364)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:33:52 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (3eb4cb117386188d52cd716130f1a364)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:43:50 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:43:50 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:43:50 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:43:50 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:43:50 INFO  Homepage:50 - log in to the app
2020-01-29 01:43:51 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_43_51.png
2020-01-29 01:43:51 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (11197512d8b4af8a2ed9325872926798)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:43:57 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (11197512d8b4af8a2ed9325872926798)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:43:57 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (11197512d8b4af8a2ed9325872926798)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:44:01 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (11197512d8b4af8a2ed9325872926798)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:44:05 INFO  JavaScriptHelper:30 - scrolling to element
2020-01-29 01:45:03 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:45:03 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:45:03 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:45:04 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:45:04 INFO  Homepage:50 - log in to the app
2020-01-29 01:45:06 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_45_05.png
2020-01-29 01:45:06 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1622788240a8b108ca4dcb965b169443)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:45:13 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1622788240a8b108ca4dcb965b169443)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:45:14 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1622788240a8b108ca4dcb965b169443)] -> css selector: #gh-search-input]for time : 10
